province,census_division,census_subdivision,land_area_km2,population_2006,population_2011,population_2016,population_2021
Manitoba,Division No. 19,Fort Alexander 3,87.95,2121.0,2099.0,1929.0,2127.0
Manitoba,Division No. 19,Hole or Hollow Water 10,16.39,619.0,627.0,582.0,530.0
Manitoba,Division No. 19,Jackhead 43,12.11,277.0,229.0,207.0,267.0
Manitoba,Division No. 19,Peguis 1B,310.31,2513.0,2609.0,2704.0,3053.0
Manitoba,Division No. 19,Pine Creek 66A,77.9,614.0,685.0,631.0,700.0
Manitoba,Division No. 19,Shoal River Indian Reserve 65A,3.75,603.0,802.0,810.0,759.0
Manitoba,Division No. 19,Swan Lake 65C,7.69,152.0,49.0,23.0,10.0
Manitoba,Division No. 19,The Narrows 49,24.09,505.0,826.0,5.0,55.0
Manitoba,Division No. 19,Waterhen 45,19.54,389.0,383.0,373.0,476.0
Manitoba,Division No. 20,"Division No. 20, Unorganized, North Part",1744.71,24.0,120.0,25.0,25.0
Manitoba,Division No. 20,"Division No. 20, Unorganized, South Part",2553.98,115.0,82.0,82.0,95.0
Manitoba,Division No. 20,Mountain (North),988.01,766.0,637.0,559.0,537.0
Manitoba,Division No. 20,Mountain (South),1615.42,570.0,467.0,419.0,443.0
Manitoba,Division No. 20,Swan River,6.81,3869.0,3907.0,4014.0,4049.0
Manitoba,Division No. 21,Chemawawin 2,2.51,983.0,1134.0,1252.0,1264.0
Manitoba,Division No. 21,"Division No. 21, Unorganized",40578.97,1887.0,1756.0,1857.0,1712.0
Manitoba,Division No. 21,Flin Flon (Part),13.14,5594.0,5363.0,4991.0,4940.0
Manitoba,Division No. 21,Grand Rapids,74.27,336.0,239.0,268.0,213.0
Manitoba,Division No. 21,Grand Rapids 33,18.91,651.0,716.0,868.0,947.0
Manitoba,Division No. 21,Kelsey,850.41,2453.0,2272.0,2419.0,2181.0
Manitoba,Division No. 21,Moose Lake 31A,3.87,698.0,963.0,1124.0,837.0
Manitoba,Division No. 21,Opaskwayak Cree Nation 21A,5.72,181.0,181.0,210.0,243.0
Manitoba,Division No. 21,Opaskwayak Cree Nation 21B,0.98,37.0,32.0,39.0,278.0
Manitoba,Division No. 21,Opaskwayak Cree Nation 21C,1.26,15.0,20.0,18.0,40.0
Manitoba,Division No. 21,Opaskwayak Cree Nation 21E,24.73,2187.0,2319.0,2473.0,2210.0
Manitoba,Division No. 21,Opaskwayak Cree Nation 21I,1.83,158.0,162.0,294.0,119.0
Manitoba,Division No. 21,Snow Lake,1166.64,837.0,723.0,899.0,1088.0
Manitoba,Division No. 21,The Pas,44.69,5589.0,5513.0,5369.0,5639.0
Manitoba,Division No. 22,Cross Lake 19,23.18,1586.0,1751.0,1607.0,1865.0
Manitoba,Division No. 22,Cross Lake 19A,6.05,1663.0,1937.0,1922.0,2045.0
Manitoba,Division No. 22,Cross Lake 19E,7.32,605.0,696.0,846.0,763.0
Manitoba,Division No. 22,"Division No. 22, Unorganized",85723.96,2460.0,2205.0,2700.0,2162.0
Manitoba,Division No. 22,Garden Hill First Nation,83.05,1898.0,2776.0,2603.0,3054.0
Manitoba,Division No. 22,God's Lake 23,36.66,1105.0,1341.0,1211.0,1520.0
Manitoba,Division No. 22,God's River 86A,2.35,556.0,596.0,628.0,809.0
Manitoba,Division No. 22,Ilford,14.09,116.0,141.0,31.0,62.0
Manitoba,Division No. 22,Mystery Lake,3351.37,0.0,10.0,0.0,0.0
Manitoba,Division No. 22,Nelson House 170,17.25,2096.0,2399.0,2500.0,2397.0
Manitoba,Division No. 22,Norway House 17,82.12,4071.0,4758.0,4807.0,5390.0
Manitoba,Division No. 22,Red Sucker Lake 1976,2.34,845.0,781.0,757.0,725.0
Manitoba,Division No. 22,Split Lake 171,130.23,1819.0,2107.0,2044.0,2232.0
Manitoba,Division No. 22,St. Theresa Point,147.93,2632.0,2871.0,3262.0,3417.0
Manitoba,Division No. 22,Thompson,16.62,13446.0,12829.0,13678.0,13035.0
Manitoba,Division No. 22,Wasagamack,77.9,1160.0,1411.0,1403.0,2088.0
Manitoba,Division No. 22,York Landing,13.32,416.0,450.0,443.0,455.0
Manitoba,Division No. 23,Churchill,50.83,923.0,813.0,899.0,870.0
Manitoba,Division No. 23,"Division No. 23, Unorganized",229309.25,171.0,5.0,283.0,74.0
Manitoba,Division No. 23,Fox Lake 2,0.41,103.0,193.0,156.0,126.0
Manitoba,Division No. 23,Gillam,1994.44,1209.0,1281.0,1201.0,1007.0
Manitoba,Division No. 23,Lac Brochet 197A,4.49,604.0,816.0,728.0,641.0
Manitoba,Division No. 23,Leaf Rapids,1237.66,539.0,453.0,582.0,351.0
Manitoba,Division No. 23,Lynn Lake,867.53,714.0,482.0,494.0,579.0
Manitoba,Division No. 23,South Indian Lake,10.54,857.0,767.0,941.0,578.0
Saskatchewan,Division No.  1,Alameda,2.53,308.0,342.0,369.0,345.0
Saskatchewan,Division No.  1,Alida,0.38,106.0,131.0,120.0,103.0
Saskatchewan,Division No.  1,Antler No. 61,804.28,506.0,536.0,523.0,451.0
Saskatchewan,Division No.  1,Arcola,3.46,509.0,649.0,657.0,636.0
Saskatchewan,Division No.  1,Argyle No. 1,567.05,267.0,270.0,290.0,331.0
Saskatchewan,Division No.  1,Benson No. 35,808.53,434.0,490.0,472.0,450.0
Saskatchewan,Division No.  1,Bienfait,3.05,748.0,780.0,762.0,668.0
Saskatchewan,Division No.  1,Brock No. 64,784.64,274.0,238.0,267.0,252.0
Saskatchewan,Division No.  1,Browning No. 34,797.0,426.0,399.0,375.0,355.0
Saskatchewan,Division No.  1,Carievale,1.51,241.0,236.0,240.0,85.0
Saskatchewan,Division No.  1,Carlyle,5.41,1257.0,1441.0,1508.0,1524.0
Saskatchewan,Division No.  1,Carnduff,2.61,1012.0,1126.0,1099.0,1150.0
Saskatchewan,Division No.  1,Coalfields No. 4,818.16,396.0,382.0,368.0,330.0
Saskatchewan,Division No.  1,Enniskillen No. 3,820.04,430.0,452.0,459.0,422.0
Saskatchewan,Division No.  1,Estevan,18.3,10084.0,11054.0,11483.0,10851.0
Saskatchewan,Division No.  1,Estevan No. 5,772.0,1051.0,1139.0,1370.0,1279.0
Saskatchewan,Division No.  1,Fairlight,2.58,40.0,40.0,40.0,25.0
Saskatchewan,Division No.  1,Forget,1.37,40.0,35.0,55.0,35.0
Saskatchewan,Division No.  1,Frobisher,1.43,145.0,166.0,160.0,127.0
Saskatchewan,Division No.  1,Gainsborough,0.94,250.0,291.0,254.0,227.0
Saskatchewan,Division No.  1,Glen Ewen,2.59,120.0,144.0,154.0,159.0
Saskatchewan,Division No.  1,Golden West No. 95,781.59,322.0,315.0,291.0,289.0
Saskatchewan,Division No.  1,Hazelwood No. 94,714.41,267.0,246.0,230.0,244.0
Saskatchewan,Division No.  1,Heward,0.92,20.0,40.0,44.0,30.0
Saskatchewan,Division No.  1,Kennedy,1.57,187.0,241.0,216.0,232.0
Saskatchewan,Division No.  1,Kenosee Lake,0.4,194.0,258.0,234.0,236.0
Saskatchewan,Division No.  1,Kisbey,2.69,185.0,139.0,153.0,158.0
Saskatchewan,Division No.  1,Lampman,2.13,634.0,713.0,675.0,673.0
Saskatchewan,Division No.  1,Manor,2.58,312.0,322.0,295.0,305.0
Saskatchewan,Division No.  1,Maryfield,2.57,347.0,365.0,348.0,311.0
Saskatchewan,Division No.  1,Maryfield No. 91,748.67,341.0,319.0,324.0,258.0
Saskatchewan,Division No.  1,Moose Creek No. 33,828.74,365.0,372.0,379.0,306.0
Saskatchewan,Division No.  1,Moose Mountain No. 63,718.23,487.0,480.0,492.0,489.0
Saskatchewan,Division No.  1,Mount Pleasant No. 2,772.71,418.0,383.0,414.0,419.0
Saskatchewan,Division No.  1,North Portal,2.65,123.0,143.0,115.0,113.0
Saskatchewan,Division No.  1,Ocean Man 69,18.78,124.0,160.0,185.0,164.0
Saskatchewan,Division No.  1,Ocean Man 69A,2.62,0.0,5.0,0.0,5.0
Saskatchewan,Division No.  1,Ocean Man 69C,3.56,0.0,5.0,0.0,15.0
Saskatchewan,Division No.  1,Ocean Man 69D,1.74,0.0,0.0,5.0,0.0
Saskatchewan,Division No.  1,Ocean Man 69E,3.86,0.0,15.0,0.0,10.0
Saskatchewan,Division No.  1,Ocean Man 69F,2.06,0.0,10.0,0.0,5.0
Saskatchewan,Division No.  1,Ocean Man 69G,0.61,5.0,0.0,0.0,0.0
Saskatchewan,Division No.  1,Ocean Man 69H,6.15,29.0,5.0,5.0,5.0
Saskatchewan,Division No.  1,Ocean Man 69I,1.62,0.0,0.0,5.0,5.0
Saskatchewan,Division No.  1,Oxbow,3.33,1139.0,1285.0,1328.0,1286.0
Saskatchewan,Division No.  1,Pheasant Rump Nakota 68,74.99,15.0,60.0,56.0,72.0
Saskatchewan,Division No.  1,Reciprocity No. 32,707.95,352.0,386.0,344.0,351.0
Saskatchewan,Division No.  1,Redvers,2.9,878.0,975.0,1042.0,1008.0
Saskatchewan,Division No.  1,Roche Percée,2.87,149.0,153.0,110.0,75.0
Saskatchewan,Division No.  1,Storthoaks,0.45,82.0,93.0,108.0,86.0
Saskatchewan,Division No.  1,Storthoaks No. 31,551.21,312.0,304.0,292.0,306.0
Saskatchewan,Division No.  1,Stoughton,3.45,653.0,694.0,649.0,652.0
Saskatchewan,Division No.  1,Tecumseh No. 65,798.92,270.0,270.0,271.0,255.0
Saskatchewan,Division No.  1,Walpole No. 92,832.36,348.0,338.0,326.0,292.0
Saskatchewan,Division No.  1,Wawken No. 93,743.5,608.0,559.0,571.0,614.0
Saskatchewan,Division No.  1,Wawota,1.28,522.0,560.0,543.0,555.0
Saskatchewan,Division No.  1,White Bear 70,92.45,796.0,738.0,691.0,722.0
Saskatchewan,Division No.  2,Avonlea,1.3,381.0,398.0,393.0,411.0
Saskatchewan,Division No.  2,Bengough,1.12,337.0,313.0,332.0,332.0
Saskatchewan,Division No.  2,Bengough No. 40,1008.64,337.0,329.0,281.0,305.0
Saskatchewan,Division No.  2,Brokenshell No. 68,845.97,324.0,308.0,312.0,307.0
Saskatchewan,Division No.  2,Caledonia No. 99,846.76,286.0,257.0,245.0,225.0
Saskatchewan,Division No.  2,Cambria No. 6,813.31,268.0,304.0,309.0,277.0
Saskatchewan,Division No.  2,Ceylon,0.76,90.0,99.0,111.0,97.0
Saskatchewan,Division No.  2,Creelman,1.35,81.0,115.0,113.0,103.0
Saskatchewan,Division No.  2,Cymri No. 36,816.38,455.0,524.0,549.0,568.0
Saskatchewan,Division No.  2,Elmsthorpe No. 100,824.15,258.0,210.0,226.0,195.0
Saskatchewan,Division No.  2,Fillmore,1.32,193.0,255.0,311.0,282.0
Saskatchewan,Division No.  2,Fillmore No. 96,815.57,256.0,255.0,223.0,224.0
Saskatchewan,Division No.  2,Goodwater,0.56,25.0,35.0,30.0,40.0
Saskatchewan,Division No.  2,Griffin No. 66,801.27,334.0,398.0,438.0,430.0
Saskatchewan,Division No.  2,Halbrite,1.1,98.0,108.0,119.0,110.0
Saskatchewan,Division No.  2,Happy Valley No. 10,806.93,174.0,148.0,139.0,125.0
Saskatchewan,Division No.  2,Key West No. 70,786.65,309.0,287.0,255.0,251.0
Saskatchewan,Division No.  2,Lake Alma No. 8,785.5,240.0,250.0,272.0,269.0
Saskatchewan,Division No.  2,Lang,0.65,172.0,200.0,189.0,176.0
Saskatchewan,Division No.  2,Laurier No. 38,816.25,312.0,321.0,296.0,253.0
Saskatchewan,Division No.  2,Lomond No. 37,825.6,301.0,304.0,296.0,275.0
Saskatchewan,Division No.  2,Macoun,1.7,168.0,246.0,269.0,272.0
Saskatchewan,Division No.  2,McTaggart,0.75,114.0,125.0,121.0,125.0
Saskatchewan,Division No.  2,Midale,1.62,462.0,562.0,604.0,510.0
Saskatchewan,Division No.  2,Milestone,2.12,562.0,618.0,699.0,682.0
Saskatchewan,Division No.  2,Minton,0.25,60.0,60.0,55.0,50.0
Saskatchewan,Division No.  2,Norton No. 69,808.81,248.0,259.0,233.0,233.0
Saskatchewan,Division No.  2,Ogema,1.33,304.0,368.0,403.0,383.0
Saskatchewan,Division No.  2,Osage,0.62,20.0,20.0,20.0,25.0
Saskatchewan,Division No.  2,Pangman,0.73,200.0,214.0,232.0,238.0
Saskatchewan,Division No.  2,Radville,2.95,793.0,860.0,807.0,778.0
Saskatchewan,Division No.  2,Scott No. 98,846.58,176.0,176.0,195.0,215.0
Saskatchewan,Division No.  2,Souris Valley No. 7,804.48,230.0,240.0,249.0,220.0
Saskatchewan,Division No.  2,Surprise Valley No. 9,802.64,199.0,193.0,217.0,211.0
Saskatchewan,Division No.  2,The Gap No. 39,795.76,245.0,230.0,199.0,181.0
Saskatchewan,Division No.  2,Torquay,1.35,184.0,236.0,255.0,215.0
Saskatchewan,Division No.  2,Tribune,1.69,35.0,25.0,45.0,25.0
Saskatchewan,Division No.  2,Wellington No. 97,831.16,357.0,356.0,371.0,274.0
Saskatchewan,Division No.  2,Weyburn,19.03,9433.0,10484.0,10870.0,11019.0
Saskatchewan,Division No.  2,Weyburn No. 67,808.5,888.0,1048.0,1064.0,1103.0
Saskatchewan,Division No.  2,Yellow Grass,2.67,371.0,440.0,478.0,483.0
Saskatchewan,Division No.  3,Assiniboia,3.68,2305.0,2418.0,2424.0,2333.0
Saskatchewan,Division No.  3,Auvergne No. 76,846.86,374.0,354.0,412.0,381.0
Saskatchewan,Division No.  3,Coronach,2.34,770.0,711.0,643.0,612.0
Saskatchewan,Division No.  3,Excel No. 71,1093.31,466.0,427.0,391.0,411.0
Saskatchewan,Division No.  3,Glen Bain No. 105,827.17,232.0,205.0,180.0,195.0
Saskatchewan,Division No.  3,Glen McPherson No. 46,845.13,112.0,73.0,72.0,76.0
Saskatchewan,Division No.  3,Gravelbourg,3.21,1089.0,1116.0,1083.0,986.0
Saskatchewan,Division No.  3,Gravelbourg No. 104,824.45,329.0,306.0,372.0,317.0
Saskatchewan,Division No.  3,Hart Butte No. 11,839.22,272.0,264.0,252.0,263.0
Saskatchewan,Division No.  3,Hazenmore,0.68,57.0,50.0,65.0,75.0
Saskatchewan,Division No.  3,Kincaid,0.54,135.0,114.0,111.0,120.0
Saskatchewan,Division No.  3,Lafleche,1.43,370.0,406.0,382.0,373.0
Saskatchewan,Division No.  3,Lake Johnston No. 102,555.8,161.0,160.0,170.0,140.0
Saskatchewan,Division No.  3,Lake of the Rivers No. 72,665.26,326.0,302.0,279.0,252.0
Saskatchewan,Division No.  3,Limerick,0.61,130.0,115.0,115.0,114.0
Saskatchewan,Division No.  3,Mankota,1.5,238.0,211.0,205.0,198.0
Saskatchewan,Division No.  3,Mankota No. 45,1693.17,382.0,322.0,292.0,289.0
Saskatchewan,Division No.  3,Mossbank,1.56,330.0,327.0,360.0,368.0
Saskatchewan,Division No.  3,Neville,0.96,65.0,83.0,87.0,88.0
Saskatchewan,Division No.  3,Old Post No. 43,1757.5,394.0,395.0,377.0,352.0
Saskatchewan,Division No.  3,Pinto Creek No. 75,838.82,239.0,239.0,288.0,251.0
Saskatchewan,Division No.  3,Ponteix,1.19,531.0,605.0,563.0,577.0
Saskatchewan,Division No.  3,Poplar Valley No. 12,765.28,245.0,200.0,195.0,190.0
Saskatchewan,Division No.  3,Rockglen,2.65,366.0,400.0,441.0,399.0
Saskatchewan,Division No.  3,Stonehenge No. 73,956.43,442.0,403.0,380.0,385.0
Saskatchewan,Division No.  3,Sutton No. 103,792.29,294.0,240.0,240.0,230.0
Saskatchewan,Division No.  3,Terrell No. 101,837.04,257.0,224.0,241.0,210.0
Saskatchewan,Division No.  3,Vanguard,1.86,152.0,152.0,134.0,184.0
Saskatchewan,Division No.  3,Waverley No. 44,1425.78,422.0,359.0,336.0,295.0
Saskatchewan,Division No.  3,Whiska Creek No. 106,845.65,520.0,499.0,465.0,512.0
Saskatchewan,Division No.  3,Willow Bunch,0.91,297.0,286.0,272.0,299.0
Saskatchewan,Division No.  3,Willow Bunch No. 42,1037.04,407.0,361.0,306.0,285.0
Saskatchewan,Division No.  3,Wood Mountain,0.61,20.0,25.0,20.0,20.0
Saskatchewan,Division No.  3,Wood Mountain 160,24.37,17.0,15.0,20.0,16.0
Saskatchewan,Division No.  3,Wood River No. 74,824.84,387.0,324.0,433.0,466.0
Saskatchewan,Division No.  4,Arlington No. 79,841.62,413.0,345.0,366.0,359.0
Saskatchewan,Division No.  4,Bone Creek No. 108,834.81,321.0,340.0,394.0,362.0
Saskatchewan,Division No.  4,Bracken,0.63,25.0,30.0,20.0,20.0
Saskatchewan,Division No.  4,Cadillac,1.16,80.0,78.0,92.0,116.0
Saskatchewan,Division No.  4,Carmichael No. 109,839.45,450.0,440.0,502.0,462.0
Saskatchewan,Division No.  4,Climax,0.94,182.0,182.0,195.0,137.0
Saskatchewan,Division No.  4,Consul,0.7,93.0,84.0,73.0,50.0
Saskatchewan,Division No.  4,Eastend,2.61,471.0,527.0,503.0,607.0
Saskatchewan,Division No.  4,Frontier,1.05,283.0,351.0,372.0,364.0
Saskatchewan,Division No.  4,Frontier No. 19,1631.39,323.0,371.0,326.0,347.0
Saskatchewan,Division No.  4,Grassy Creek No. 78,831.45,305.0,284.0,364.0,341.0
Saskatchewan,Division No.  4,Lac Pelletier No. 107,841.37,524.0,607.0,546.0,563.0
Saskatchewan,Division No.  4,Lone Tree No. 18,821.4,150.0,145.0,150.0,140.0
Saskatchewan,Division No.  4,Maple Creek,4.35,2198.0,2176.0,2084.0,2176.0
Saskatchewan,Division No.  4,Maple Creek No. 111,3180.1,1167.0,1154.0,1063.0,1167.0
Saskatchewan,Division No.  4,Nekaneet Cree Nation,60.32,160.0,118.0,187.0,169.0
Saskatchewan,Division No.  4,Piapot No. 110,1942.87,392.0,324.0,302.0,280.0
Saskatchewan,Division No.  4,Reno No. 51,3424.73,462.0,399.0,379.0,343.0
Saskatchewan,Division No.  4,Shaunavon,4.8,1691.0,1756.0,1714.0,1784.0
Saskatchewan,Division No.  4,Val Marie,0.43,137.0,98.0,126.0,120.0
Saskatchewan,Division No.  4,Val Marie No. 17,3059.22,479.0,405.0,413.0,425.0
Saskatchewan,Division No.  4,White Valley No. 49,2001.56,518.0,478.0,478.0,352.0
Saskatchewan,Division No.  4,Wise Creek No. 77,822.49,252.0,157.0,205.0,188.0
Saskatchewan,Division No.  5,Atwater,1.84,25.0,0.0,30.0,27.0
Saskatchewan,Division No.  5,Bangor,1.57,50.0,46.0,38.0,40.0
Saskatchewan,Division No.  5,Bird's Point,0.59,88.0,103.0,112.0,150.0
Saskatchewan,Division No.  5,Bredenbury,4.61,329.0,364.0,372.0,386.0
Saskatchewan,Division No.  5,Broadview,2.82,611.0,574.0,552.0,541.0
Saskatchewan,Division No.  5,Cana No. 214,813.42,850.0,858.0,867.0,904.0
Saskatchewan,Division No.  5,Chester No. 125,817.66,386.0,373.0,383.0,333.0
Saskatchewan,Division No.  5,Churchbridge,2.57,704.0,743.0,896.0,866.0
Saskatchewan,Division No.  5,Churchbridge No. 211,899.13,679.0,673.0,619.0,584.0
Saskatchewan,Division No.  5,Cowessess 73,116.48,513.0,672.0,540.0,645.0
Saskatchewan,Division No.  5,Dubuc,0.61,55.0,70.0,61.0,71.0
Saskatchewan,Division No.  5,Duff,0.27,30.0,30.0,30.0,25.0
Saskatchewan,Division No.  5,Elcapo No. 154,824.3,489.0,481.0,488.0,392.0
Saskatchewan,Division No.  5,Esterhazy,5.56,2336.0,2472.0,2502.0,2345.0
Saskatchewan,Division No.  5,Fenwood,1.74,35.0,40.0,30.0,42.0
Saskatchewan,Division No.  5,Fertile Belt No. 183,1001.93,771.0,816.0,781.0,727.0
Saskatchewan,Division No.  5,Fleming,1.89,75.0,83.0,84.0,70.0
Saskatchewan,Division No.  5,Gerald,0.74,124.0,114.0,136.0,129.0
Saskatchewan,Division No.  5,Glenavon,1.29,183.0,176.0,182.0,179.0
Saskatchewan,Division No.  5,Goodeve,2.38,50.0,45.0,40.0,40.0
Saskatchewan,Division No.  5,Grayson,1.79,179.0,184.0,211.0,185.0
Saskatchewan,Division No.  5,Grayson No. 184,862.8,542.0,495.0,512.0,547.0
Saskatchewan,Division No.  5,Grenfell,3.14,947.0,1049.0,1099.0,1059.0
Saskatchewan,Division No.  5,Kahkewistahaw 72,79.95,506.0,523.0,502.0,627.0
Saskatchewan,Division No.  5,Killaly,2.64,77.0,74.0,65.0,58.0
Saskatchewan,Division No.  5,Kingsley No. 124,828.77,439.0,421.0,444.0,396.0
Saskatchewan,Division No.  5,Kipling,2.55,973.0,1051.0,1074.0,1076.0
Saskatchewan,Division No.  5,Langenburg,3.38,1048.0,1148.0,1165.0,1228.0
Saskatchewan,Division No.  5,Langenburg No. 181,656.42,558.0,572.0,557.0,561.0
Saskatchewan,Division No.  5,Lemberg,2.67,255.0,274.0,313.0,266.0
Saskatchewan,Division No.  5,Little Bone 74B,1.78,33.0,39.0,24.0,41.0
Saskatchewan,Division No.  5,MacNutt,0.92,80.0,65.0,65.0,50.0
Saskatchewan,Division No.  5,Martin No. 122,542.27,339.0,333.0,289.0,254.0
Saskatchewan,Division No.  5,McLeod No. 185,872.52,508.0,446.0,365.0,401.0
Saskatchewan,Division No.  5,Melville,14.78,4149.0,4517.0,4562.0,4493.0
Saskatchewan,Division No.  5,Melville Beach,0.11,41.0,10.0,19.0,54.0
Saskatchewan,Division No.  5,Moosomin,7.15,2262.0,2485.0,2743.0,2657.0
Saskatchewan,Division No.  5,Moosomin No. 121,545.78,513.0,504.0,603.0,541.0
Saskatchewan,Division No.  5,Neudorf,1.94,281.0,272.0,263.0,272.0
Saskatchewan,Division No.  5,Ochapowace 71,151.37,448.0,540.0,426.0,501.0
Saskatchewan,Division No.  5,Ochapowace 71-10,2.33,0.0,0.0,0.0,5.0
Saskatchewan,Division No.  5,Ochapowace 71-18,4.67,0.0,0.0,0.0,0.0
Saskatchewan,Division No.  5,Ochapowace 71-54,1.39,0.0,5.0,0.0,0.0
Saskatchewan,Division No.  5,Ochapowace 71-7,1.86,0.0,0.0,0.0,0.0
Saskatchewan,Division No.  5,Rocanville,2.36,869.0,857.0,863.0,889.0
Saskatchewan,Division No.  5,Rocanville No. 151,748.04,554.0,533.0,507.0,544.0
Saskatchewan,Division No.  5,Sakimay 74,83.77,169.0,311.0,147.0,250.0
Saskatchewan,Division No.  5,Saltcoats,1.35,467.0,474.0,484.0,473.0
Saskatchewan,Division No.  5,Saltcoats No. 213,824.85,746.0,673.0,712.0,743.0
Saskatchewan,Division No.  5,Shesheep 74A,12.92,24.0,132.0,111.0,98.0
Saskatchewan,Division No.  5,Silverwood No. 123,827.96,449.0,466.0,410.0,355.0
Saskatchewan,Division No.  5,Spy Hill,1.15,201.0,204.0,168.0,173.0
Saskatchewan,Division No.  5,Spy Hill No. 152,646.54,365.0,366.0,323.0,383.0
Saskatchewan,Division No.  5,Stanley No. 215,824.95,509.0,516.0,505.0,508.0
Saskatchewan,Division No.  5,Stockholm,1.63,323.0,341.0,352.0,329.0
Saskatchewan,Division No.  5,Tantallon,0.84,105.0,105.0,91.0,84.0
Saskatchewan,Division No.  5,Waldron,1.38,20.0,20.0,15.0,15.0
Saskatchewan,Division No.  5,Wapella,2.63,311.0,333.0,326.0,278.0
Saskatchewan,Division No.  5,West End,0.37,26.0,17.0,37.0,41.0
Saskatchewan,Division No.  5,Whitewood,3.93,869.0,950.0,862.0,944.0
Saskatchewan,Division No.  5,Willowdale No. 153,594.03,333.0,297.0,294.0,248.0
Saskatchewan,Division No.  5,Windthorst,1.34,194.0,215.0,211.0,194.0
Saskatchewan,Division No.  5,Wolseley,5.84,782.0,864.0,854.0,852.0
Saskatchewan,Division No.  5,Wolseley No. 155,758.46,438.0,405.0,372.0,366.0
Saskatchewan,Division No.  5,Yarbo,0.76,72.0,53.0,57.0,48.0
Saskatchewan,Division No.  6,Abernethy,0.98,197.0,196.0,204.0,190.0
Saskatchewan,Division No.  6,Abernethy No. 186,763.11,375.0,387.0,362.0,337.0
Saskatchewan,Division No.  6,Alice Beach,0.71,68.0,45.0,51.0,82.0
Saskatchewan,Division No.  6,Assiniboine 76,158.11,671.0,673.0,443.0,703.0
Saskatchewan,Division No.  6,B-Say-Tah,1.02,206.0,187.0,156.0,177.0
Saskatchewan,Division No.  6,Balcarres,1.62,598.0,617.0,587.0,616.0
Saskatchewan,Division No.  6,Balgonie,4.76,1384.0,1625.0,1765.0,1756.0
Saskatchewan,Division No.  6,Belle Plaine,1.35,64.0,66.0,85.0,79.0
Saskatchewan,Division No.  6,Bethune,2.38,369.0,400.0,399.0,560.0
Saskatchewan,Division No.  6,Bratt's Lake No. 129,844.71,362.0,350.0,315.0,328.0
Saskatchewan,Division No.  6,Briercrest,0.69,117.0,111.0,159.0,155.0
Saskatchewan,Division No.  6,Buena Vista,3.63,490.0,524.0,612.0,646.0
Saskatchewan,Division No.  6,Bulyea,1.26,104.0,102.0,113.0,121.0
Saskatchewan,Division No.  6,Chamberlain,0.68,108.0,88.0,90.0,96.0
Saskatchewan,Division No.  6,Craven,1.22,274.0,234.0,214.0,266.0
Saskatchewan,Division No.  6,Cupar,0.86,566.0,579.0,564.0,598.0
Saskatchewan,Division No.  6,Cupar No. 218,905.53,502.0,554.0,503.0,516.0
Saskatchewan,Division No.  6,Dilke,1.28,80.0,77.0,98.0,60.0
Saskatchewan,Division No.  6,Disley,0.65,62.0,111.0,67.0,58.0
Saskatchewan,Division No.  6,Drinkwater,2.64,65.0,65.0,70.0,74.0
Saskatchewan,Division No.  6,Dufferin No. 190,949.88,540.0,512.0,559.0,454.0
Saskatchewan,Division No.  6,Dysart,1.19,198.0,218.0,200.0,188.0
Saskatchewan,Division No.  6,Earl Grey,1.35,264.0,239.0,246.0,229.0
Saskatchewan,Division No.  6,Edenwold,0.69,242.0,238.0,233.0,243.0
Saskatchewan,Division No.  6,Edenwold No. 158,848.84,3606.0,4167.0,4490.0,4466.0
Saskatchewan,Division No.  6,Findlater,1.2,49.0,50.0,45.0,60.0
Saskatchewan,Division No.  6,Fort Qu'Appelle,5.09,1919.0,2034.0,2042.0,1972.0
Saskatchewan,Division No.  6,Fort San,2.55,215.0,187.0,222.0,233.0
Saskatchewan,Division No.  6,Francis,0.62,148.0,176.0,217.0,182.0
Saskatchewan,Division No.  6,Francis No. 127,1077.36,672.0,676.0,674.0,701.0
Saskatchewan,Division No.  6,Glen Harbour,0.35,73.0,65.0,67.0,91.0
Saskatchewan,Division No.  6,Grand Coulee,1.74,435.0,571.0,649.0,606.0
Saskatchewan,Division No.  6,Grandview Beach,0.25,35.0,25.0,35.0,118.0
Saskatchewan,Division No.  6,Holdfast,1.32,173.0,169.0,247.0,173.0
Saskatchewan,Division No.  6,Indian Head,3.08,1634.0,1815.0,1910.0,1902.0
Saskatchewan,Division No.  6,Indian Head No. 156,745.38,356.0,380.0,336.0,362.0
Saskatchewan,Division No.  6,Island View,0.45,88.0,65.0,74.0,134.0
Saskatchewan,Division No.  6,Kannata Valley,0.63,133.0,101.0,88.0,126.0
Saskatchewan,Division No.  6,Katepwa,4.49,285.0,403.0,312.0,539.0
Saskatchewan,Division No.  6,Kendal,0.62,59.0,77.0,83.0,59.0
Saskatchewan,Division No.  6,Lajord No. 128,945.1,977.0,993.0,1232.0,985.0
Saskatchewan,Division No.  6,Lebret,1.24,203.0,218.0,221.0,226.0
Saskatchewan,Division No.  6,Lipton,0.7,342.0,372.0,345.0,284.0
Saskatchewan,Division No.  6,Lipton No. 217,805.35,427.0,424.0,381.0,388.0
Saskatchewan,Division No.  6,Little Black Bear 84,65.68,160.0,165.0,137.0,173.0
Saskatchewan,Division No.  6,Longlaketon No. 219,1022.45,899.0,962.0,1016.0,1096.0
Saskatchewan,Division No.  6,Lumsden,4.92,1523.0,1631.0,1824.0,1800.0
